Date,fear_greed,fg_ma7,fg_ma14,fg_change,fg_change7,fg_extreme_fear,fg_extreme_greed
2018-02-01,30,,,,,0,0
2018-02-02,15,,,-15.0,,1,0
2018-02-03,40,,,25.0,,0,0
2018-02-04,24,,,-16.0,,0,0
2018-02-05,11,,,-13.0,,1,0
2018-02-06,8,,,-3.0,,1,0
2018-02-07,36,23.428571428571427,,28.0,,0,0
2018-02-08,30,23.428571428571427,,-6.0,0.0,0,0
2018-02-09,44,27.571428571428573,,14.0,29.0,0,0
2018-02-10,54,29.571428571428573,,10.0,14.0,0,0
2018-02-11,31,30.571428571428573,,-23.0,7.0,0,0
2018-02-12,42,35.0,,11.0,31.0,0,0
2018-02-13,35,38.857142857142854,,-7.0,27.0,0,0
2018-02-14,55,41.57142857142857,32.5,20.0,19.0,0,0
2018-02-15,71,47.42857142857143,35.42857142857143,16.0,41.0,0,0
2018-02-16,67,50.714285714285715,39.142857142857146,-4.0,23.0,0,0
2018-02-17,74,53.57142857142857,41.57142857142857,7.0,20.0,0,0
2018-02-18,63,58.142857142857146,44.357142857142854,-11.0,32.0,0,0
2018-02-19,67,61.714285714285715,48.357142857142854,4.0,25.0,0,0
2018-02-20,74,67.28571428571429,53.07142857142857,7.0,39.0,0,0
2018-02-21,54,67.14285714285714,54.357142857142854,-20.0,-1.0,0,0
2018-02-22,44,63.285714285714285,55.357142857142854,-10.0,-27.0,0,0
2018-02-23,39,59.285714285714285,55.0,-5.0,-28.0,0,0
2018-02-24,31,53.142857142857146,53.357142857142854,-8.0,-43.0,0,0
2018-02-25,33,48.857142857142854,53.5,2.0,-30.0,0,0
2018-02-26,37,44.57142857142857,53.142857142857146,4.0,-30.0,0,0
2018-02-27,44,40.285714285714285,53.785714285714285,7.0,-30.0,0,0
2018-02-28,41,38.42857142857143,52.785714285714285,-3.0,-13.0,0,0
2018-03-01,38,37.57142857142857,50.42857142857143,-3.0,-6.0,0,0
2018-03-02,47,38.714285714285715,49.0,9.0,8.0,0,0
2018-03-03,56,42.285714285714285,47.714285714285715,9.0,25.0,0,0
2018-03-04,44,43.857142857142854,46.357142857142854,-12.0,11.0,0,0
2018-03-05,55,46.42857142857143,45.5,11.0,18.0,0,0
2018-03-06,59,48.57142857142857,44.42857142857143,4.0,15.0,0,0
2018-03-07,37,48.0,43.214285714285715,-22.0,-4.0,0,0
2018-03-08,39,48.142857142857146,42.857142857142854,2.0,1.0,0,0
2018-03-09,37,46.714285714285715,42.714285714285715,-2.0,-10.0,0,0
2018-03-10,39,44.285714285714285,43.285714285714285,2.0,-17.0,0,0
2018-03-11,40,43.714285714285715,43.785714285714285,1.0,-4.0,0,0
2018-03-12,41,41.714285714285715,44.07142857142857,1.0,-14.0,0,0
2018-03-13,41,39.142857142857146,43.857142857142854,0.0,-18.0,0,0
2018-03-14,40,39.57142857142857,43.785714285714285,-1.0,3.0,0,0
2018-03-15,32,38.57142857142857,43.357142857142854,-8.0,-7.0,0,0
2018-03-16,33,38.0,42.357142857142854,1.0,-4.0,0,0
2018-03-17,31,36.857142857142854,40.57142857142857,-2.0,-8.0,0,0
2018-03-18,29,35.285714285714285,39.5,-2.0,-11.0,0,0
2018-03-19,29,33.57142857142857,37.642857142857146,0.0,-12.0,0,0
2018-03-20,37,33.0,36.07142857142857,8.0,-4.0,0,0
2018-03-21,36,32.42857142857143,36.0,-1.0,-4.0,0,0
2018-03-22,36,33.0,35.785714285714285,0.0,4.0,0,0
2018-03-23,28,32.285714285714285,35.142857142857146,-8.0,-5.0,0,0
2018-03-24,32,32.42857142857143,34.642857142857146,4.0,1.0,0,0
2018-03-25,30,32.57142857142857,33.92857142857143,-2.0,1.0,0,0
2018-03-26,31,32.857142857142854,33.214285714285715,1.0,2.0,0,0
2018-03-27,24,31.0,32.0,-7.0,-13.0,0,0
2018-03-28,24,29.285714285714285,30.857142857142858,0.0,-12.0,0,0
2018-03-29,18,26.714285714285715,29.857142857142858,-6.0,-18.0,1,0
2018-03-30,12,24.428571428571427,28.357142857142858,-6.0,-16.0,1,0
2018-03-31,16,22.142857142857142,27.285714285714285,4.0,-16.0,1,0
2018-04-01,16,20.142857142857142,26.357142857142858,0.0,-14.0,1,0
2018-04-02,11,17.285714285714285,25.071428571428573,-5.0,-20.0,1,0
2018-04-03,22,17.0,24.0,11.0,-2.0,0,0
2018-04-04,22,16.714285714285715,23.0,0.0,-2.0,0,0
2018-04-05,17,16.571428571428573,21.642857142857142,-5.0,-1.0,1,0
2018-04-06,19,17.571428571428573,21.0,2.0,7.0,1,0
2018-04-07,20,18.142857142857142,20.142857142857142,1.0,4.0,1,0
2018-04-08,17,18.285714285714285,19.214285714285715,-3.0,1.0,1,0
2018-04-09,21,19.714285714285715,18.5,4.0,10.0,0,0
2018-04-10,18,19.142857142857142,18.071428571428573,-3.0,-4.0,1,0
2018-04-11,20,18.857142857142858,17.785714285714285,2.0,-2.0,1,0
2018-04-12,18,19.0,17.785714285714285,-2.0,1.0,1,0
2018-04-13,23,19.571428571428573,18.571428571428573,5.0,4.0,0,0
2018-04-17,26,20.428571428571427,19.285714285714285,3.0,6.0,0,0
2018-04-18,24,21.428571428571427,19.857142857142858,-2.0,7.0,0,0
2018-04-19,25,22.0,20.857142857142858,1.0,4.0,0,0
2018-04-20,26,23.142857142857142,21.142857142857142,1.0,8.0,0,0
2018-04-21,32,24.857142857142858,21.857142857142858,6.0,12.0,0,0
2018-04-22,31,26.714285714285715,22.857142857142858,-1.0,13.0,0,0
2018-04-23,28,27.428571428571427,23.5,-3.0,5.0,0,0
2018-04-24,29,27.857142857142858,24.142857142857142,1.0,3.0,0,0
2018-04-25,64,33.57142857142857,27.5,35.0,40.0,0,0
2018-04-26,47,36.714285714285715,29.357142857142858,-17.0,22.0,0,0
2018-04-27,55,40.857142857142854,32.0,8.0,29.0,0,0
2018-04-28,54,44.0,34.42857142857143,-1.0,22.0,0,0
2018-04-29,61,48.285714285714285,37.5,7.0,30.0,0,0
