rank,d_model,nhead,num_layers,dropout,lr,batch_size,seq_len,threshold,balanced_val_score,val_f1,recall_down,recall_up,balance_penalty,val_loss,test_accuracy,test_f1,epochs_trained,time_seconds
0,32,2,1,0.1,0.0005,32,5,0.49,0.6126,0.6174,0.6087,0.5992,0.0095,0.651,0.5762,0.4,30,18.2
0,32,2,1,0.1,0.0005,32,7,0.52,0.6351,0.6538,0.6135,0.6511,0.0375,0.6464,0.5833,0.4932,35,20.8
0,32,2,1,0.1,0.0005,64,5,0.46,0.5843,0.587,0.5749,0.5696,0.0053,0.6657,0.5561,0.3028,26,11.1
0,32,2,1,0.1,0.0005,64,7,0.44,0.6236,0.6366,0.6039,0.6298,0.0259,0.658,0.5698,0.3819,45,25.1
0,32,2,1,0.1,0.001,32,5,0.48,0.6369,0.6435,0.6377,0.6245,0.0132,0.6491,0.6031,0.528,45,22.5
0,32,2,1,0.1,0.001,32,7,0.48,0.6312,0.6393,0.6135,0.6298,0.0163,0.6466,0.6194,0.5493,43,29.1
0,32,2,1,0.1,0.001,64,5,0.5,0.6633,0.6667,0.6473,0.654,0.0067,0.6401,0.6031,0.4381,36,16.5
0,32,2,1,0.1,0.001,64,7,0.51,0.6374,0.6495,0.6184,0.6426,0.0242,0.6366,0.6014,0.528,43,30.2
0,32,2,1,0.1,0.002,32,5,0.51,0.659,0.6623,0.6522,0.6456,0.0066,0.64,0.6211,0.5344,41,23.3
0,32,2,1,0.1,0.002,32,7,0.47,0.635,0.6407,0.6184,0.6298,0.0114,0.6496,0.5991,0.4671,30,20.8
