Date,fear_greed,fg_ma7,fg_ma14,fg_change,fg_change7,fg_extreme_fear,fg_extreme_greed
1970-01-01 00:00:00.000000000,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000001,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000002,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000003,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000004,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000005,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000006,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000007,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000008,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000009,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000010,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000011,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000012,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000013,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000014,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000015,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000016,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000017,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000018,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000019,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000020,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000021,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000022,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1970-01-01 00:00:00.000000023,50.0,50.0,50.0,50.0,50.0,50.0,50.0
